,,Aircraft Total Movement
2009,Jan,24231
,Feb,21220
,Mar,23786
,Apr,24081
,May,23411
,Jun,21496
,Jul,23300
,Aug,23696
,Sep,22558
,Oct,23912
,Nov,23500
,Dec,24210
2010,Jan,23447
,Feb,22253
,Mar,24357
,Apr,24700
,May,25371
,Jun,24770
,Jul,26716
,Aug,27129
,Sep,26111
,Oct,27195
,Nov,26751
,Dec,27739
2011,Jan,27423
,Feb,24305
,Mar,28144
,Apr,27698
,May,27848
,Jun,27096
,Jul,28891
,Aug,28951
,Sep,27718
,Oct,28557
,Nov,27880
,Dec,29295
2012,Jan,29011
,Feb,26583
,Mar,29605
,Apr,29036
,May,29243
,Jun,28431
,Jul,29879
,Aug,30489
,Sep,28854
,Oct,30040
,Nov,29714
,Dec,30799
2013,Jan,30292
,Feb,27680
,Mar,30551
,Apr,30552
,May,31058
,Jun,30555
,Jul,32146
,Aug,32415
,Sep,30449
,Oct,31881
,Nov,31655
,Dec,32846
2014,Jan,32700
,Feb,28762
,Mar,32459
,Apr,32721
,May,32731
,Jun,31771
,Jul,33291
,Aug,33713
,Sep,32016
,Oct,33649
,Nov,32936
,Dec,34259
2015,Jan,33391
,Feb,31206
,Mar,34313
,Apr,33727
,May,34122
,Jun,32890
,Jul,34198
,Aug,34888
,Sep,33096
,Oct,34815
,Nov,33988
,Dec,35414
2016,Jan,35221
,Feb,32624
,Mar,35082
,Apr,33692
,May,34383
,Jun,33781
,Jul,35211
,Aug,34810
,Sep,33878
,Oct,34615
,Nov,32603
,Dec,35666
2017,Jan,35314
,Feb,31242
,Mar,35260
,Apr,34751
,May,35431
,Jun,34596
,Jul,36274
,Aug,35601
,Sep,34635
,Oct,35991
,Nov,34916
,Dec,36648
2018,Jan,36008
,Feb,32333
,Mar,36252
,Apr,35377
,May,35998
,Jun,35340
,Jul,36699
,Aug,36966
,Sep,33722
,Oct,36516
,Nov,35451
,Dec,37104
2019,Jan,36534
,Feb,32436
,Mar,36752
,Apr,35666
,May,36313
